Set,Song
Set 1,Loving Cup
Set 1,Foam
Set 1,Guelah Papyrus
Set 1,Sparkle
Set 1,Stash
Set 1,Paul and Silas
Set 1,Sample in a Jar
Set 1,Reba
Set 1,Punch You in the Eye
Set 1,Runaway Jim
Set 2,Halley's Comet
Set 2,David Bowie
Set 2,The Ballad of Curtis Loew
Set 2,You Enjoy Myself
Set 2,Spooky Jam
Set 2,You Enjoy Myself
Set 2,Lifeboy
Set 2,Rift
Set 2,Big Ball Jam
Set 2,The Great Gig in the Sky
Set 2,Hold Your Head Up
Set 2,The Squirming Coil
Encore,Memories
Encore,Sweet Adeline
Encore,Golgi Apparatus
