Set,Song
Set 1,Llama
Set 1,Guelah Papyrus
Set 1,Rift
Set 1,Stash
Set 1,Reba
Set 1,My Friend, My Friend
Set 1,Uncle Pen
Set 1,Sample in a Jar
Set 1,I Didn't Know
Set 1,David Bowie
Set 2,Buried Alive
Set 2,Halley's Comet
Set 2,It's Ice
Set 2,Bouncing Around the Room
Set 2,Chalk Dust Torture
Set 2,The Man Who Stepped Into Yesterday
Set 2,Avenu Malkenu
Set 2,The Man Who Stepped Into Yesterday
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Hold Your Head Up
Set 2,Cracklin' Rosie
Set 2,Hold Your Head Up
Set 2,Poor Heart
Set 2,Golgi Apparatus
Encore,The Squirming Coil
Encore,Carolina
