Set,Song
Set 1,Runaway Jim
Set 1,Foam
Set 1,Bouncing Around the Room
Set 1,Maze
Set 1,Esther
Set 1,Divided Sky
Set 1,Glide
Set 1,Punch You in the Eye
Set 1,I Didn't Know
Set 1,Run Like an Antelope
Set 2,Axilla
Set 2,Rift
Set 2,Tweezer
Set 2,Reba
Set 2,Lawn Boy
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Big Ball Jam
Set 2,Hold Your Head Up
Set 2,Terrapin
Set 2,Hold Your Head Up
Set 2,I Walk the Line
Set 2,The Squirming Coil
Set 2,Tweezer Reprise
Encore,Amazing Grace
Encore,Rocky Top
