Set,Song
Set 1,Chalk Dust Torture
Set 1,Mound
Set 1,Split Open and Melt
Set 1,The Horse
Set 1,Silent in the Morning
Set 1,All Things Reconsidered
Set 1,Llama
Set 1,Fluffhead
Set 1,Possum
Set 1,Lawn Boy
Set 1,Why You Been Gone So Long?
Set 1,Tennessee Waltz
Set 1,I Been to Georgia on a Fast Train
Set 2,Suzy Greenberg
Set 2,Tweezer
Set 2,Tela
Set 2,Uncle Pen
Set 2,Big Ball Jam
Set 2,The Squirming Coil
Set 2,Mike's Song
Set 2,Ob-La-Di, Ob-La-Da Jam
Set 2,Rocky Top
Set 2,Hold Your Head Up
Set 2,Cracklin' Rosie
Set 2,Hold Your Head Up
Set 2,That's Alright Mama
Encore,Sweet Adeline
Encore,Contact
Encore,Tweezer Reprise
