Set,Song
Set 1,Llama
Set 1,Foam
Set 1,Bouncing Around the Room
Set 1,Stash
Set 1,It's Ice
Set 1,Glide
Set 1,My Friend, My Friend
Set 1,All Things Reconsidered
Set 1,Golgi Apparatus
Set 1,Run Like an Antelope
Set 2,Wilson
Set 2,Reba
Set 2,The Landlady
Set 2,Halley's Comet
Set 2,You Enjoy Myself
Set 2,Lifeboy
Set 2,The Oh Kee Pa Ceremony
Set 2,Suzy Greenberg
Set 2,Hold Your Head Up
Set 2,Cracklin' Rosie
Set 2,Hold Your Head Up
Set 2,Big Ball Jam
Set 2,The Squirming Coil
Encore,Sweet Adeline
Encore,Big Black Furry Creature from Mars
