Set,Song
Set 1,Buried Alive
Set 1,Possum
Set 1,Weigh
Set 1,All Things Reconsidered
Set 1,The Sloth
Set 1,Runaway Jim
Set 1,It's Ice
Set 1,Bouncing Around the Room
Set 1,Fluffhead
Set 1,Maze
Set 1,Golgi Apparatus
Set 2,Axilla
Set 2,The Landlady
Set 2,David Bowie
Set 2,Glide
Set 2,My Friend, My Friend
Set 2,Big Ball Jam
Set 2,My Sweet One
Set 2,Horn
Set 2,You Enjoy Myself
Set 2,Hold Your Head Up
Set 2,Lengthwise
Set 2,Hold Your Head Up
Set 2,The Squirming Coil
Encore,Carolina
Encore,Good Times Bad Times
