Set,Song
Set 1,The Landlady
Set 1,Free
Set 1,The Moma Dance
Set 1,Seven Below
Set 1,Prince Caspian
Set 1,Backwards Down the Number Line
Set 1,The Line
Set 1,Scent of a Mule
Set 1,Saw It Again
Set 1,Halfway to the Moon
Set 1,The Birdwatcher
Set 1,Frankenstein
Set 2,Wilson
Set 2,Down with Disease
Set 2,Carini
Set 2,Steam
Set 2,Piper
Set 2,Also Sprach Zarathustra
Set 2,Tweezer
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Slave to the Traffic Light
Encore,Tweezer Reprise
Encore,Harpua
Encore,After Midnight
Encore,NO2
Encore,Keyboard Army
Encore,Your Pet Cat
Encore,Once in a Lifetime
Encore,United We Stand
