"Set","Song"
"Set 1","No Men In No Man's Land"
"Set 1","Martian Monster"
"Set 1","NICU"
"Set 1","Stealing Time From the Faulty Plan"
"Set 1","Bouncing Around the Room"
"Set 1","555"
"Set 1","Winterqueen"
"Set 1","Split Open and Melt"
"Set 1","Limb By Limb"
"Set 1","Roggae"
"Set 1","Character Zero"
"Set 2","A Song I Heard the Ocean Sing"
"Set 2","Chalk Dust Torture"
"Set 2","Twist"
"Set 2","Mercury"
"Set 2","Light"
"Set 2","Wingsuit"
"Set 2","Rock and Roll"
"Encore","Sleeping Monkey"
"Encore","Harry Hood"
"Encore","A Day in the Life"
