Set,Song
Set 1,The Moma Dance
Set 1,Possum
Set 1,Wolfman's Brother
Set 1,Birds of a Feather
Set 1,I Didn't Know
Set 1,Happy Birthday to You
Set 1,Martian Monster
Set 1,Reba
Set 1,Walls of the Cave
Set 2,The Wedge
Set 2,Wilson
Set 2,A Song I Heard the Ocean Sing
Set 2,Yarmouth Road
Set 2,Kill Devil Falls
Set 2,Piper
Set 2,Twist
Set 3,No Men In No Man's Land
Set 3,Auld Lang Syne
Set 3,Blaze On
Set 3,Carini
Set 3,David Bowie
Set 3,The Horse
Set 3,Silent in the Morning
Set 3,Backwards Down the Number Line
Encore,Tube
Encore,Cavern
