"Set","Song","Date"
"Set 1","Chalk Dust Torture",2003-01-02
"Set 1","Bathtub Gin",2003-01-02
"Set 1","It's Ice",2003-01-02
"Set 1","Back on the Train",2003-01-02
"Set 1","Round Room",2003-01-02
"Set 1","The Horse",2003-01-02
"Set 1","Silent in the Morning",2003-01-02
"Set 1","Stash",2003-01-02
"Set 1","Water in the Sky",2003-01-02
"Set 1","Character Zero",2003-01-02
"Set 2","46 Days",2003-01-02
"Set 2","Simple",2003-01-02
"Set 2","My Friend, My Friend",2003-01-02
"Set 2","Limb By Limb",2003-01-02
"Set 2","Thunderhead",2003-01-02
"Set 2","Run Like an Antelope",2003-01-02
"Set 2","Cavern",2003-01-02
"Encore","Mexican Cousin",2003-01-02
"Set 1","Tweezer",2003-01-03
"Set 1","Theme From the Bottom",2003-01-03
"Set 1","Foam",2003-01-03
"Set 1","Pebbles and Marbles",2003-01-03
"Set 1","You Enjoy Myself",2003-01-03
"Set 2","Birds of a Feather",2003-01-03
"Set 2","Wolfman's Brother",2003-01-03
"Set 2","Makisupa Policeman",2003-01-03
"Set 2","Axilla",2003-01-03
"Set 2","Twist",2003-01-03
"Set 2","Free",2003-01-03
"Set 2","All of These Dreams",2003-01-03
"Set 2","Possum",2003-01-03
"Encore","Contact",2003-01-03
"Encore","Tweezer Reprise",2003-01-03
"Set 1","Llama",2003-01-04
"Set 1","Boogie On Reggae Woman",2003-01-04
"Set 1","Roggae",2003-01-04
"Set 1","Maze",2003-01-04
"Set 1","Anything But Me",2003-01-04
"Set 1","Ya Mar",2003-01-04
"Set 1","Saw It Again",2003-01-04
"Set 1","Bouncing Around the Room",2003-01-04
"Set 1","Split Open and Melt",2003-01-04
"Set 2","Rock and Roll",2003-01-04
"Set 2","Mike's Song",2003-01-04
"Set 2","Mountains in the Mist",2003-01-04
"Set 2","Weekapaug Groove",2003-01-04
"Set 2","What's the Use?",2003-01-04
"Set 2","Down with Disease",2003-01-04
"Set 2","Fast Enough for You",2003-01-04
"Set 2","Also Sprach Zarathustra",2003-01-04
"Encore","Friday",2003-01-04
"Set 1","My Sweet One",2003-02-14
"Set 1","The Cover of 'Rolling Stone'",2003-02-14
"Set 1","Chalk Dust Torture",2003-02-14
"Set 1","Fee",2003-02-14
"Set 1","Taste",2003-02-14
"Set 1","Bathtub Gin",2003-02-14
"Set 1","Heavy Things",2003-02-14
"Set 1","Golgi Apparatus",2003-02-14
"Set 2","Possum",2003-02-14
"Set 2","Walls of the Cave",2003-02-14
"Set 2","Carini",2003-02-14
"Set 2","All of These Dreams",2003-02-14
"Set 2","Limb By Limb",2003-02-14
"Set 2","The Oh Kee Pa Ceremony",2003-02-14
"Set 2","AC/DC Bag",2003-02-14
"Set 2","Prince Caspian",2003-02-14
"Encore","Loving Cup",2003-02-14
"Set 1","Llama",2003-02-15
"Set 1","Wolfman's Brother",2003-02-15
"Set 1","Reba",2003-02-15
"Set 1","Life on Mars?",2003-02-15
"Set 1","46 Days",2003-02-15
"Set 1","It's Ice",2003-02-15
"Set 1","Frankie Says",2003-02-15
"Set 1","Run Like an Antelope",2003-02-15
"Set 2","Waves",2003-02-15
"Set 2","Bug",2003-02-15
