"Set","Song","Date"
"Set 1","Long Cool Woman in a Black Dress",1983-12-02
"Set 1","Proud Mary",1983-12-02
"Set 1","In the Midnight Hour",1983-12-02
"Set 1","Squeeze Box",1983-12-02
"Set 1","Roadhouse Blues",1983-12-02
"Set 1","Happy Birthday to You",1983-12-02
"Set 2","Scarlet Begonias",1983-12-02
"Set 2","Fire on the Mountain",1983-12-02
"Set 1","Makisupa Policeman",1984-10-23
"Set 1","In the Midnight Hour",1984-11-03
"Set 1","Wild Child",1984-11-03
"Set 1","Jam",1984-11-03
"Set 1","Bertha",1984-11-03
"Set 1","Can't You Hear Me Knocking",1984-11-03
"Set 1","St. Stephen Jam",1984-11-03
"Set 1","Can't You Hear Me Knocking",1984-11-03
"Set 1","Camel Walk",1984-11-03
"Set 1","Eyes of the World",1984-11-03
"Set 1","Whipping Post",1984-11-03
"Set 1","Drums",1984-11-03
"Set 1","Jam",1984-12-01
"Set 1","Wild Child",1984-12-01
"Set 1","Bertha",1984-12-01
"Set 1","Can't You Hear Me Knocking",1984-12-01
"Set 1","Camel Walk",1984-12-01
"Set 1","Jam",1984-12-01
"Set 1","In the Midnight Hour",1984-12-01
"Set 1","Scarlet Begonias",1984-12-01
"Set 1","Fire",1984-12-01
"Set 1","Fire on the Mountain",1984-12-01
"Set 1","Makisupa Policeman",1984-12-01
"Set 1","Slave to the Traffic Light",1984-12-01
"Set 1","Spanish Flea",1984-12-01
"Set 1","Don't Want You No More",1984-12-01
"Set 1","Cities",1984-12-01
"Set 1","Drums",1984-12-01
"Set 1","Skippy the Wondermouse",1984-12-01
"Set 1","Fluffhead",1984-12-01
"Encore","Eyes of the World",1984-12-01
"Set 1","Slave to the Traffic Light",1985-02-01
"Set 1","Mike's Song",1985-02-01
"Set 1","Dave's Energy Guide",1985-02-01
"Set 1","You Enjoy Myself",1985-02-01
"Set 1","Alumni Blues",1985-02-01
"Set 1","Letter to Jimmy Page",1985-02-01
"Set 1","Alumni Blues",1985-02-01
"Set 1","Prep School Hippie",1985-02-01
"Set 1","Run Like an Antelope",1985-02-01
"Set 1","Anarchy",1985-03-04
"Set 1","Camel Walk",1985-03-04
"Set 1","Fire Up the Ganja",1985-03-04
"Set 1","Skippy the Wondermouse",1985-03-04
"Set 1","In the Midnight Hour",1985-03-04
"Set 1","Sneakin' Sally Through the Alley",1985-03-08
"Set 1","Alumni Blues",1985-03-16
"Set 1","Skippy the Wondermouse",1985-03-16
"Set 1","Bertha",1985-03-16
"Set 1","Jam",1985-03-16
"Set 1","Mike's Song",1985-03-16
"Set 1","I Am Hydrogen",1985-04-06
"Set 1","Don't Want You No More",1985-04-06
"Set 1","Cities",1985-04-06
"Set 1","Wild Child",1985-04-06
"Set 1","Slave to the Traffic Light",1985-04-06
"Set 1","Jam",1985-04-06
"Set 1","Alumni Blues",1985-04-06
"Set 1","Letter to Jimmy Page",1985-04-06
"Set 1","Alumni Blues",1985-04-06
"Set 1","Mike's Song",1985-04-06
"Set 1","Dave's Energy Guide",1985-04-06
"Set 1","Big Leg Emma",1985-04-06
"Set 1","Revolution",1985-04-06
"Set 1","Anarchy",1985-04-06
"Set 1","I Wish",1985-04-06
"Set 1","Camel Walk",1985-04-06
"Set 1","Run Like an Antelope",1985-04-06
"Set 2","McGrupp and the Watchful Hosemasters",1985-04-06
"Set 2","Makisupa Policeman",1985-04-06
"Set 3","Quinn the Eskimo",1985-04-06
"Set 1","Slave to the Traffic Light",1985-05-03
"Set 1","Mike's Song",1985-05-03
"Set 1","Dave's Energy Guide",1985-05-03
"Set 1","Big Leg Emma",1985-05-03
"Set 2","Alumni Blues",1985-05-03
"Set 2","Wild Child",1985-05-03
"Set 2","Can't You Hear Me Knocking",1985-05-03
"Set 2","Jam",1985-05-03
"Set 2","Cities",1985-05-03
"Set 2","Bring It On Home",1985-05-03
"Set 3","Scarlet Begonias",1985-05-03
"Set 3","Eyes of the World",1985-05-03
"Set 3","Whipping Post",1985-05-03
"Set 3","McGrupp and the Watchful Hosemasters",1985-05-03
"Set 3","Makisupa Policeman",1985-05-03
"Set 3","Run Like an Antelope",1985-05-03
"Set 3","The Other One",1985-05-03
"Encore","Anarchy",1985-05-03
"Set 1","Big Leg Emma",1985-05-31
"Set 1","Dog Log",1985-09-26
"Set 1","Prep School Hippie",1985-09-26
"Set 1","Camel Walk",1985-09-26
"Set 1","Alumni Blues",1985-09-26
"Set 1","Run Like an Antelope",1985-09-26
"Set 1","Dave's Energy Guide",1985-09-26
"Set 1","McGrupp and the Watchful Hosemasters",1985-09-26
"Set 1","Low Rider Jam",1985-09-27
"Set 1","Big Leg Emma",1985-09-27
"Set 1","Wild Child",1985-09-27
"Set 1","Back Porch Boogie Blues",1985-09-27
"Set 1","Camel Walk",1985-09-27
"Set 1","Possum",1985-09-27
"Set 1","Fire",1985-09-27
"Set 1","Slave to the Traffic Light",1985-09-27
"Set 1","In the Midnight Hour",1985-09-27
"Set 2","Melt the Guns",1985-09-27
"Set 2","T.V. Theme",1985-09-27
"Set 2","Sneakin' Sally Through the Alley",1985-09-27
"Set 2","Prep School Hippie",1985-09-27
"Set 3","Mike's Song",1985-09-27
"Set 3","Dave's Energy Guide",1985-09-27
"Set 3","McGrupp and the Watchful Hosemasters",1985-09-27
"Set 3","Cities",1985-09-27
"Set 3","Anarchy",1985-09-27
"Set 3","Revolution",1985-09-27
"Set 3","Anarchy",1985-09-27
"Set 3","Revolution",1985-09-27
"Set 3","Makisupa Policeman",1985-09-27
"Set 1","T.V. Theme",1985-10-17
"Set 1","Alumni Blues",1985-10-17
"Set 1","Letter to Jimmy Page",1985-10-17
"Set 1","Alumni Blues",1985-10-17
"Set 1","Mike's Song",1985-10-17
"Set 1","Dave's Energy Guide",1985-10-17
"Set 1","Revolution",1985-10-17
"Set 1","Anarchy",1985-10-17
"Set 1","Camel Walk",1985-10-17
"Set 1","Run Like an Antelope",1985-10-17
"Set 1","McGrupp and the Watchful Hosemasters",1985-10-17
"Set 1","Harry Hood",1985-10-30
"Set 1","Dog Log",1985-10-30
"Set 1","Possum",1985-10-30
"Set 1","Slave to the Traffic Light",1985-10-30
"Set 1","Sneakin' Sally Through the Alley",1985-10-30
"Set 1","I Wish",1985-10-30
"Set 1","Revival",1985-10-30
"Set 1","Alumni Blues",1985-10-30
"Set 1","Letter to Jimmy Page",1985-10-30
"Set 1","Alumni Blues",1985-10-30
"Set 1","Prep School Hippie",1985-10-30
"Set 1","Skippy the Wondermouse",1985-10-30
"Set 1","Slave to the Traffic Light",1985-11-14
"Set 1","Hurricane",1985-11-14
"Set 1","Makisupa Policeman",1985-11-14
"Set 1","Piggies",1985-11-14
"Set 1","Makisupa Policeman",1985-11-14
"Set 1","Drums",1985-11-14
"Set 1","Alumni Blues",1985-11-14
"Set 1","Dear Mrs. Reagan",1985-11-14
"Set 1","Wild Thing",1985-11-23
"Set 2","Mike's Song",1985-11-23
"Set 2","Whipping Post Jam",1985-11-23
"Set 2","Run Like an Antelope",1985-11-23
"Set 2","Dave's Energy Guide",1985-11-23
"Set 1","Slave to the Traffic Light",1986-02-03
"Set 1","Mike's Song",1986-02-03
"Set 1","Dave's Energy Guide",1986-02-03
"Set 1","You Enjoy Myself",1986-02-03
"Set 1","Alumni Blues",1986-02-03
"Set 1","Letter to Jimmy Page",1986-02-03
"Set 1","Alumni Blues",1986-02-03
"Set 1","Prep School Hippie",1986-02-03
"Set 1","Run Like an Antelope",1986-02-03
"Set 2","Tonight",1986-02-03
"Set 2","The Pendulum",1986-02-03
"Set 2","Babylon is Burning",1986-02-03
"Set 2","Dec 1661",1986-02-03
"Set 1","Quinn the Eskimo",1986-04-01
"Set 1","Have Mercy",1986-04-01
"Set 1","Harry Hood",1986-04-01
"Set 1","The Pendulum",1986-04-01
"Set 1","Dave's Energy Guide",1986-04-01
"Set 1","Icculus",1986-04-01
"Set 1","You Enjoy Myself",1986-04-01
"Set 2","Help on the Way",1986-04-01
"Set 2","Slipknot!",1986-04-01
"Set 2","AC/DC Bag",1986-04-01
"Set 2","McGrupp and the Watchful Hosemasters",1986-04-01
"Set 2","Alumni Blues",1986-04-01
"Set 2","Letter to Jimmy Page",1986-04-01
"Set 2","Alumni Blues",1986-04-01
"Set 2","Dear Mrs. Reagan",1986-04-01
"Encore","Not Fade Away",1986-04-01
"Set 1","AC/DC Bag",1986-04-25
"Set 1","Dear Mrs. Reagan",1986-04-25
"Set 1","Prep School Hippie",1986-04-25
"Set 1","Quinn the Eskimo",1986-04-25
"Set 1","Slave to the Traffic Light",1986-04-25
"Set 1","Makisupa Policeman",1986-04-25
"Set 1","Have Mercy",1986-04-25
"Set 1","All Blues",1986-04-25
"Set 1","Dog Log",1986-04-25
"Set 1","Possum",1986-04-25
"Set 1","You Enjoy Myself",1986-04-25
"Set 1","Anarchy",1986-04-25
"Set 1","Camel Walk",1986-04-25
"Set 1","Alumni Blues",1986-04-25
"Set 1","Letter to Jimmy Page",1986-04-25
"Set 1","Alumni Blues",1986-04-25
"Set 1","Halley's Comet",1986-05-17
"Set 1","Back Porch Boogie Blues",1986-05-17
"Set 1","Halley's Comet",1986-05-17
"Set 1","Dog Log",1986-05-24
"Set 1","Halley's Comet",1986-05-24
"Set 1","Back Porch Boogie Blues",1986-05-24
"Set 1","Halley's Comet",1986-05-24
"Set 1","Golgi Apparatus",1986-10-12
"Set 1","Slave to the Traffic Light",1986-10-12
"Set 1","Wilson",1986-10-12
"Set 1","Halley's Comet",1986-10-12
"Set 1","Possum",1986-10-12
"Set 1","Sneakin' Sally Through the Alley",1986-10-12
"Set 1","Makisupa Policeman",1986-10-12
"Set 1","Alumni Blues",1986-10-15
"Set 1","Makisupa Policeman",1986-10-15
"Set 1","Skin It Back",1986-10-15
"Set 1","Cities",1986-10-15
"Set 1","I Am Hydrogen",1986-10-15
"Set 1","McGrupp and the Watchful Hosemasters",1986-10-15
"Set 1","AC/DC Bag",1986-10-15
"Set 1","You Enjoy Myself",1986-10-15
"Set 1","Lushington",1986-10-15
"Set 2","Peaches en Regalia",1986-10-15
"Set 2","Golgi Apparatus",1986-10-15
"Set 2","Swing Low, Sweet Chariot",1986-10-15
"Set 2","Camel Walk",1986-10-15
"Set 2","Shaggy Dog",1986-10-15
"Set 2","Mustang Sally",1986-10-15
"Set 2","Fluffhead",1986-10-15
"Set 2","Sneakin' Sally Through the Alley",1986-10-15
"Set 2","Wilson",1986-10-15
"Set 2","Slave to the Traffic Light",1986-10-15
"Set 2","Quinn the Eskimo",1986-10-15
"Set 2","Mike's Song",1986-10-15
"Set 2","Have Mercy",1986-10-15
"Set 2","Harry Hood",1986-10-15
"Set 3","Roll Like a Cantaloupe",1986-10-15
"Set 3","Sanity",1986-10-15
"Set 3","Anarchy",1986-10-15
"Encore","Clod",1986-10-15
"Set 1","Mustang Sally",1986-10-31
"Set 1","Camel Walk",1986-10-31
"Set 1","Golgi Apparatus",1986-10-31
"Set 1","Slave to the Traffic Light",1986-10-31
"Set 1","Melt the Guns",1986-10-31
"Set 1","Sneakin' Sally Through the Alley",1986-10-31
"Set 1","Halley's Comet",1986-10-31
"Set 1","Back Porch Boogie Blues",1986-10-31
"Set 1","Shaggy Dog",1986-10-31
"Set 1","Fluffhead",1986-10-31
"Set 2","Jam",1986-10-31
"Set 2","AC/DC Bag",1986-10-31
"Set 2","Swing Low, Sweet Chariot",1986-10-31
"Set 2","Peaches en Regalia",1986-10-31
"Set 2","David Bowie",1986-10-31
"Set 2","Have Mercy",1986-10-31
"Set 2","Harry Hood",1986-10-31
"Set 2","Sanity",1986-10-31
"Set 2","Skin It Back",1986-10-31
"Set 2","Icculus",1986-10-31
"Set 2","Alumni Blues",1986-10-31
"Set 1","Funky Bitch",1986-12-06
"Set 1","Possum",1986-12-06
"Set 1","Peaches en Regalia",1986-12-06
"Set 1","Makisupa Policeman",1986-12-06
"Set 1","Fluffhead",1986-12-06
"Set 2","I Know a Little",1986-12-06
"Set 2","Golgi Apparatus",1986-12-06
"Set 2","Slave to the Traffic Light",1986-12-06
"Set 2","Shaggy Dog",1986-12-06
"Set 2","Light Up Or Leave Me Alone",1986-12-06
"Set 2","Camel Walk",1986-12-06
"Set 2","Jam",1986-12-06
"Set 2","Swing Low, Sweet Chariot",1986-12-06
"Set 2","Back Porch Boogie Blues",1986-12-06
"Set 2","Icculus",1986-12-06
"Set 2","McGrupp and the Watchful Hosemasters",1986-12-06
"Set 2","Good Times Bad Times",1986-12-06
"Set 2","Skin It Back",1986-12-06
"Set 2","Cities",1986-12-06
"Set 3","Mike's Song",1986-12-06
"Set 3","The Little Drummer Boy",1986-12-06
"Set 3","Whipping Post",1986-12-06
"Set 3","She Caught the Katy and Left Me a Mule to Ride",1986-12-06
"Set 3","AC/DC Bag",1986-12-06
"Set 3","David Bowie",1986-12-06
"Set 3","Clod",1986-12-06
"Set 3","David Bowie",1986-12-06
"Set 3","You Enjoy Myself",1986-12-06
"Set 3","Dog Log",1986-12-06
"Set 3","Tush",1986-12-06
"Set 3","Sneakin' Sally Through the Alley",1986-12-06
"Set 3","Prep School Hippie",1986-12-06
"Set 1","Wilson",1987-01-21
"Set 2","I Am Hydrogen",1987-01-21
"Set 2","Peaches en Regalia",1987-01-21
"Set 2","Swing Low, Sweet Chariot",1987-01-21
"Set 2","Sneakin' Sally Through the Alley",1987-01-21
"Set 2","Makisupa Policeman",1987-01-21
"Set 2","Skin It Back",1987-01-21
"Set 2","Cities",1987-01-21
"Set 2","Fluffhead",1987-01-21
"Set 1","Sneakin' Sally Through the Alley",1987-02-13
"Set 1","Possum",1987-02-13
"Set 1","Golgi Apparatus",1987-02-13
"Set 1","Slave to the Traffic Light",1987-02-13
"Set 1","Quinn the Eskimo",1987-02-13
"Set 1","Alumni Blues",1987-02-13
"Set 1","Letter to Jimmy Page",1987-02-13
"Set 1","Alumni Blues",1987-02-13
"Set 1","Suzy Greenberg",1987-02-13
"Set 1","Sanity",1987-02-13
"Set 1","Good Times Bad Times",1987-02-13
"Set 2","Wilson",1987-02-13
"Set 2","Melt the Guns",1987-02-13
"Set 2","Dave's Energy Guide",1987-02-13
"Set 2","Fluffhead",1987-02-13
"Set 2","Harry Hood",1987-02-13
"Set 1","Why Don't You Love Me?",1987-02-21
"Set 2","Fluffhead",1987-02-21
"Set 2","Fire",1987-02-21
"Set 2","Suzy Greenberg",1987-02-21
"Set 2","Dear Mrs. Reagan",1987-02-21
"Set 2","Camel Walk",1987-02-21
"Set 2","Back Porch Boogie Blues",1987-02-21
"Set 2","Blue Monk",1987-02-21
"Set 2","Clod",1987-02-21
"Set 2","Lushington",1987-02-21
"Set 2","Peaches en Regalia",1987-02-21
"Set 2","Swing Low, Sweet Chariot",1987-02-21
"Set 2","Boogie On Reggae Woman",1987-02-21
"Set 2","Ya Mar",1987-02-21
"Set 2","Corinna",1987-02-21
"Set 2","Dog Log",1987-02-21
"Set 2","Alumni Blues",1987-02-21
"Set 2","Letter to Jimmy Page",1987-02-21
"Set 2","Alumni Blues",1987-02-21
"Set 1","Funky Bitch",1987-03-06
"Set 1","Good Times Bad Times",1987-03-06
"Set 1","Corinna",1987-03-06
"Set 1","Golgi Apparatus",1987-03-06
"Set 1","Quinn the Eskimo",1987-03-06
"Set 1","Sneakin' Sally Through the Alley",1987-03-06
"Set 2","Free Bird",1987-03-06
"Set 2","Happy Birthday to You",1987-03-06
"Set 2","Harry Hood",1987-03-06
"Set 2","Tell Me Something Good",1987-03-06
"Set 2","Possum",1987-03-06
"Set 2","Freeworld",1987-03-06
"Set 2","Wilson",1987-03-06
"Encore","Slave to the Traffic Light",1987-03-06
"Set 1","Funky Bitch",1987-03-23
"Set 1","Mike's Song",1987-03-23
"Set 1","Alumni Blues",1987-03-23
"Set 1","Letter to Jimmy Page",1987-03-23
"Set 1","Alumni Blues",1987-03-23
"Set 1","You Enjoy Myself",1987-03-23
"Set 1","Sparks",1987-03-23
"Set 2","Fluffhead",1987-03-23
"Set 2","Peaches en Regalia",1987-03-23
