Set,Song
Set 1,Run Like an Antelope
Set 1,Backwards Down the Number Line
Set 1,Tweezer
Set 1,Fluffhead
Set 1,Roses Are Free
Set 1,Funky Bitch
Set 1,The Moma Dance
Set 1,When the Circus Comes
Set 1,Theme From the Bottom
Set 1,Golgi Apparatus
Set 1,Stealing Time From the Faulty Plan
Set 2,Golden Age
Set 2,Prince Caspian
Set 2,Light
Set 2,Boogie On Reggae Woman
Set 2,The Wedge
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Mike's Song
Set 2,No Quarter
Set 2,Weekapaug Groove
Encore,Sleeping Monkey
Encore,Tweezer Reprise
