Set,Song
Set 1,Runaway Jim
Set 1,Wolfman's Brother
Set 1,Nellie Kane
Set 1,Beauty of a Broken Heart
Set 1,Ocelot
Set 1,Maze
Set 1,I Didn't Know
Set 1,46 Days
Set 1,Tube
Set 1,When the Circus Comes
Set 1,Sugar Shack
Set 1,Split Open and Melt
Set 1,Cavern
Set 2,Golden Age
Set 2,Piper
Set 2,Mike's Song
Set 2,Simple
Set 2,Backwards Down the Number Line
Set 2,Carini
Set 2,Wilson
Set 2,Weekapaug Groove
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Also Sprach Zarathustra
Set 2,Fluffhead
Set 2,Loving Cup
Encore,Show of Life
Encore,Character Zero
