Set,Song
Set 1,Garden Party
Set 1,Possum
Set 1,Roses Are Free
Set 1,Rift
Set 1,Sample in a Jar
Set 1,Alaska
Set 1,Mike's Song
Set 1,Walk Away
Set 1,Weekapaug Groove
Set 1,Character Zero
Set 2,Birds of a Feather
Set 2,Ghost
Set 2,Piper
Set 2,Light
Set 2,Also Sprach Zarathustra
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,You Enjoy Myself
Set 3,Party Time
Set 3,Kung
Set 3,Chalk Dust Torture
Set 3,Auld Lang Syne
Set 3,Tweezer Reprise
Set 3,Sand
Set 3,The Wedge
Set 3,Fly Like an Eagle
Set 3,Wilson
Set 3,Lawn Boy
Encore,Driver
Encore,Iron Man
