Set,Song
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,Head Held High
Set 1,The Man Who Stepped Into Yesterday
Set 1,Avenu Malkenu
Set 1,The Man Who Stepped Into Yesterday
Set 1,Kill Devil Falls
Set 1,Bittersweet Motel
Set 1,The Moma Dance
Set 1,Gumbo
Set 1,David Bowie
Set 1,Alaska
Set 1,Susskind Hotel
Set 1,Hold Your Head Up
Set 1,Purple Rain
Set 1,Hold Your Head Up
Set 1,The Star Spangled Banner
Set 2,Boogie On Reggae Woman
Set 2,Tweezer
Set 2,Twist
Set 2,Taste
Set 2,Quinn the Eskimo
Set 2,Julius
Set 2,Rock and Roll
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Harry Hood
Set 2,Shine a Light
Set 2,Show of Life
Set 2,Slave to the Traffic Light
Encore,Sleeping Monkey
Encore,Tweezer Reprise
