Set,Song
Set 1,AC/DC Bag
Set 1,The Moma Dance
Set 1,Heavy Things
Set 1,Ocelot
Set 1,Funky Bitch
Set 1,Bathtub Gin
Set 1,Fluffhead
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,Tube
Set 1,My Sweet One
Set 1,David Bowie
Set 2,Crosseyed and Painless
Set 2,McGrupp and the Watchful Hosemasters
Set 2,Mike's Song
Set 2,Bouncing Around the Room
Set 2,Axilla
Set 2,Tweezer
Set 2,Harry Hood
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Weekapaug Groove
Set 2,Suzy Greenberg
Encore,Big Black Furry Creature from Mars
Encore,Tweezer Reprise
