"Set","Song"
"Set 1","Crowd Control"
"Set 1","Party Time"
"Set 1","Axilla"
"Set 1","Reba"
"Set 1","Free"
"Set 1","Mound"
"Set 1","Walk Away"
"Set 1","NICU"
"Set 1","Back on the Train"
"Set 1","Gotta Jibboo"
"Set 1","Roggae"
"Set 1","David Bowie"
"Set 2","Crosseyed and Painless"
"Set 2","Light"
"Set 2","Sneakin' Sally Through the Alley"
"Set 2","Crosseyed and Painless"
"Set 2","Theme From the Bottom"
"Set 2","Rocky Top"
"Set 2","Boogie On Reggae Woman"
"Set 2","Meatstick"
"Set 2","Bug"
"Set 2","You Enjoy Myself"
"Encore","Ride Captain Ride"
"Encore","Tweezer Reprise"
