"Set","Song"
"Set 1","Kill Devil Falls"
"Set 1","Rift"
"Set 1","Wilson"
"Set 1","Backwards Down the Number Line"
"Set 1","The Moma Dance"
"Set 1","Divided Sky"
"Set 1","Wolfman's Brother"
"Set 1","Axilla"
"Set 1","46 Days"
"Set 1","Ya Mar"
"Set 1","Stealing Time From the Faulty Plan"
"Set 1","Run Like an Antelope"
"Set 2","Down with Disease"
"Set 2","Birds of a Feather"
"Set 2","My Friend, My Friend"
"Set 2","Rock and Roll"
"Set 2","Twist"
"Set 2","If I Could"
"Set 2","Light"
"Set 2","Harry Hood"
"Set 2","Character Zero"
"Set 2","Suzy Greenberg"
"Encore","Slave to the Traffic Light"
"Encore","Loving Cup"
