"Set","Song"
"Set 1","Ya Mar"
"Set 1","Suzy Greenberg"
"Set 1","McGrupp and the Watchful Hosemasters"
"Set 1","The Sloth"
"Set 1","Rocky Top"
"Set 1","Harry Hood"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 2","Walk Away"
"Set 2","AC/DC Bag"
"Set 2","The Mango Song"
"Set 2","Fee"
"Set 2","You Enjoy Myself"
"Set 2","The Lizards"
"Set 3","The Oh Kee Pa Ceremony"
"Set 3","Bold As Love"
"Set 3","Punch You in the Eye"
"Set 3","Possum"
"Set 3","Halley's Comet"
"Set 3","Alumni Blues"
"Set 3","Letter to Jimmy Page"
"Set 3","Alumni Blues"
"Set 3","Contact"
"Set 3","Run Like an Antelope"
"Encore","Golgi Apparatus"
"Encore","Fire"
