Set,Song
Set 1,Funky Bitch
Set 1,Possum
Set 1,Walk Away
Set 1,Suzy Greenberg
Set 1,Mike's Song
Set 1,I Am Hydrogen
Set 1,Weekapaug Groove
Set 2,Jesus Just Left Chicago
Set 2,Slave to the Traffic Light
Set 2,Dinner and a Movie
Set 2,The Fishin' Hole
Set 2,Satin Doll
Set 2,Halley's Comet
Set 2,Light Up Or Leave Me Alone
Set 2,Big Black Furry Creature from Mars
Set 3,Cities
Set 3,Dave's Energy Guide
Set 3,Cities
Set 3,Dog Log
Set 3,Harry Hood
Set 3,Fluffhead
Set 3,Ride Captain Ride
Encore,Green Onions
Encore,Cinnamon Girl
Encore,Hold Your Head Up
Encore,American Woman
Encore,Wilson
Encore,Peaches en Regalia
Encore,Fire
