"Set","Song"
"Set 1","Harpua"
"Set 1","Bundle of Joy"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","You Enjoy Myself"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Reba"
"Set 1","Divided Sky"
"Set 1","Golgi Apparatus"
"Set 2","I Didn't Know"
"Set 2","AC/DC Bag"
"Set 2","Donna Lee"
"Set 2","Split Open and Melt"
"Set 2","Harry Hood"
"Set 2","Swing Low, Sweet Chariot"
"Set 2","In a Hole"
"Set 2","Slave to the Traffic Light"
"Set 2","Run Like an Antelope"
"Set 3","No Dogs Allowed"
"Set 3","Walk Away"
"Set 3","Dinner and a Movie"
"Set 3","La Grange"
