"Set","Song"
"Set 1","Split Open and Melt"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 1","Rocky Top"
"Set 1","Fee"
"Set 1","Divided Sky"
"Set 1","AC/DC Bag"
"Set 1","My Sweet One"
"Set 1","You Enjoy Myself"
"Set 1","La Grange"
"Set 2","Harry Hood"
"Set 2","Bathtub Gin"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","McGrupp and the Watchful Hosemasters"
"Set 2","Who Do? We Do!"
"Set 2","Clod"
"Set 2","The Sloth"
"Set 2","The Lizards"
"Set 2","If I Only Had a Brain"
"Set 2","Possum"
"Encore","Harpua"
"Encore","Highway to Hell"
"Encore 2","Take the 'A' Train"
"Encore 2","Run Like an Antelope"
