"Set","Song"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Avenu Malkenu"
"Set 1","AC/DC Bag"
"Set 1","Punch You in the Eye"
"Set 1","Rocky Top"
"Set 1","Bold As Love"
"Set 1","The Mango Song"
"Set 1","The Lizards"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 2","Split Open and Melt"
"Set 2","Take the 'A' Train"
"Set 2","Divided Sky"
"Set 2","Bathtub Gin"
"Set 2","Funky Bitch"
"Set 2","The Ballad of Curtis Loew"
"Set 2","David Bowie"
"Set 2","Undun"
"Set 2","Alumni Blues"
"Set 2","Letter to Jimmy Page"
"Set 2","Alumni Blues"
"Set 2","You Enjoy Myself"
"Set 2","Harry Hood"
