Set,Song
Set 1,Fluffhead
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,Harry Hood
Set 1,Split Open and Melt
Set 1,Divided Sky
Set 1,You Enjoy Myself
Set 1,Possum
Set 2,The Fishin' Hole
Set 2,Bold As Love
Set 2,Ya Mar
Set 2,Slave to the Traffic Light
Set 2,AC/DC Bag
Set 2,Donna Lee
Set 2,Funky Bitch
Set 2,Foam
Set 2,David Bowie
Set 3,The Man Who Stepped Into Yesterday
Set 3,Avenu Malkenu
Set 3,Suzy Greenberg
Set 3,Dinner and a Movie
Set 3,Run Like an Antelope
Encore,Contact
Encore,The Lizards
Encore,La Grange
