Set,Song
Set 1,Esther
Set 1,McGrupp and the Watchful Hosemasters
Set 1,Foam
Set 1,The Sloth
Set 1,Possum
Set 1,Mike's Song
Set 1,I Am Hydrogen
Set 1,Weekapaug Groove
Set 1,Golgi Apparatus
Set 2,Makisupa Policeman
Set 2,Dinner and a Movie
Set 2,AC/DC Bag
Set 2,The Lizards
Set 2,Timber (Jerry The Mule)
Set 2,Contact
Set 2,Alumni Blues
Set 2,Letter to Jimmy Page
Set 2,Alumni Blues
Set 2,Fee
Set 2,Run Like an Antelope
Set 3,Sanity
Set 3,Fluffhead
Set 3,Suzy Greenberg
Set 3,Slave to the Traffic Light
Set 3,Bike
Set 3,Whipping Post
Encore,Fire
