Set,Song
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,McGrupp and the Watchful Hosemasters
Set 1,Who Do? We Do!
Set 1,Golgi Apparatus
Set 1,Harry Hood
Set 1,The Chase
Set 1,Wilson
Set 1,Foam
Set 1,Ya Mar
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,Run Like an Antelope
Set 2,AC/DC Bag
Set 2,My Sweet One
Set 2,Reba
Set 2,Dinner and a Movie
Set 2,Bundle of Joy
Set 2,Possum
Set 2,You Enjoy Myself
Set 2,If I Only Had a Brain
Set 2,Contact
Set 2,Split Open and Melt
Set 2,The Lizards
Encore,Highway to Hell
