"Set","Song"
"Set 1","Wilson"
"Set 1","McGrupp and the Watchful Hosemasters"
"Set 1","You Enjoy Myself"
"Set 1","Foam"
"Set 1","AC/DC Bag"
"Set 1","The Curtain"
"Set 1","Run Like an Antelope"
"Set 1","I Didn't Know"
"Set 1","Divided Sky"
"Set 1","Alumni Blues"
"Set 1","Letter to Jimmy Page"
"Set 1","Alumni Blues"
"Set 1","Good Times Bad Times"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Fee"
"Set 2","Possum"
"Set 2","Walk Away"
"Set 2","Colonel Forbin's Ascent"
"Set 2","Fly Famous Mockingbird"
"Set 2","The Lizards"
"Set 2","Split Open and Melt"
"Set 2","Take the 'A' Train"
"Set 2","David Bowie"
"Encore","Golgi Apparatus"
