"Set","Song"
"Set 1","Chalk Dust Torture"
"Set 1","The Moma Dance"
"Set 1","Heavy Things"
"Set 1","555"
"Set 1","Rift"
"Set 1","46 Days"
"Set 1","Tube"
"Set 1","Devotion To a Dream"
"Set 1","Wolfman's Brother"
"Set 1","The Ballad of Curtis Loew"
"Set 1","Free"
"Set 1","Character Zero"
"Set 2","Down with Disease"
"Set 2","Theme From the Bottom"
"Set 2","Tweezer"
"Set 2","Prince Caspian"
"Set 2","Waiting All Night"
"Set 2","Fuego"
"Set 2","Slave to the Traffic Light"
"Set 2","Also Sprach Zarathustra"
"Set 2","Boogie On Reggae Woman"
"Set 2","Run Like an Antelope"
"Encore","Bouncing Around the Room"
"Encore","Tweezer Reprise"
