Set,Song
Set 1,Fuego
Set 1,My Soul
Set 1,Back on the Train
Set 1,555
Set 1,Dog Faced Boy
Set 1,Fuck Your Face
Set 1,Horn
Set 1,Frankie Says
Set 1,My Friend, My Friend
Set 1,Roses Are Free
Set 1,Roggae
Set 1,Birds of a Feather
Set 1,Wingsuit
Set 2,Possum
Set 2,Crosseyed and Painless
Set 2,Light
Set 2,The Dogs
Set 2,Lengthwise
Set 2,Twist
Set 2,Wading in the Velvet Sea
Set 2,Harry Hood
Set 2,Golgi Apparatus
Set 2,Backwards Down the Number Line
Encore,Waiting All Night
Encore,Sing Monica
Encore,The Star Spangled Banner
