Set,Song
Set 1,Mike's Song
Set 1,Simple
Set 1,Beauty of My Dreams
Set 1,Roggae
Set 1,Split Open and Melt
Set 1,Poor Heart
Set 1,The Moma Dance
Set 1,Divided Sky
Set 1,Water in the Sky
Set 1,Funky Bitch
Set 1,Cities
Set 1,Weekapaug Groove
Set 2,The Wedge
Set 2,Reba
Set 2,Gumbo
Set 2,Sanity
Set 2,Tweezer
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Chalk Dust Torture
Set 2,Slave to the Traffic Light
Set 3,NICU
Set 3,David Bowie
Set 3,Strange Design
Set 3,Limb By Limb
Set 3,Brian and Robert
Set 3,Loving Cup
Encore,Halley's Comet
Encore,Cavern
Encore,Tweezer Reprise
Set 4,Ambient Jam
