Set,Song
Set 1,Axilla
Set 1,Punch You in the Eye
Set 1,Roggae
Set 1,Birds of a Feather
Set 1,Sneakin' Sally Through the Alley
Set 1,Chalk Dust Torture
Set 1,Lawn Boy
Set 1,Mike's Song
Set 1,Frankie Says
Set 1,Weekapaug Groove
Set 2,Who Loves the Sun?
Set 2,Sweet Jane
Set 2,Rock and Roll
Set 2,Cool It Down
Set 2,New Age
Set 2,Head Held High
Set 2,Lonesome Cowboy Bill
Set 2,I Found a Reason
Set 2,Train Round the Bend
Set 2,Oh! Sweet Nuthin'
Set 3,Wolfman's Brother
Set 3,Piper
Set 3,Ghost
Encore,Sleeping Monkey
Encore,Tweezer Reprise
