Set,Song
Set 1,Funky Bitch
Set 1,Ya Mar
Set 1,Carini
Set 1,Runaway Jim
Set 1,Meat
Set 1,Reba
Set 1,The Old Home Place
Set 1,Dogs Stole Things
Set 1,Vultures
Set 1,When the Circus Comes
Set 1,Birds of a Feather
Set 2,Buried Alive
Set 2,Wipe Out
Set 2,Chalk Dust Torture
Set 2,Mirror in the Bathroom
Set 2,Chalk Dust Torture
Set 2,Dog Log
Set 2,Chalk Dust Torture
Set 2,Sanity
Set 2,Buffalo Bill
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Wipe Out
Set 2,Weekapaug Groove
Set 2,Weekapaug Groove Reprise
Set 2,Run Like an Antelope
Encore,Wading in the Velvet Sea
Encore,Golgi Apparatus
Encore,Wipe Out
