Set,Song
Set 1,Ginseng Sullivan
Set 1,Bathtub Gin
Set 1,Rift
Set 1,Punch You in the Eye
Set 1,Lawn Boy
Set 1,Ya Mar
Set 1,AC/DC Bag
Set 1,Frankie Says
Set 1,Birds of a Feather
Set 1,Guyute
Set 1,Possum
Set 2,Down with Disease
Set 2,Piper
Set 2,Ghost
Set 2,Fluffhead
Set 2,When the Circus Comes
Set 2,Wading in the Velvet Sea
Set 2,Hold Your Head Up
Set 2,Sexual Healing
Set 2,Hold Your Head Up
Set 2,Run Like an Antelope
Set 3,Sabotage
Set 3,Also Sprach Zarathustra
Set 3,Wilson
Set 3,The Mango Song
Set 3,Character Zero
Set 3,Bittersweet Motel
Set 3,While My Guitar Gently Weeps
Encore,Harry Hood
Encore,Jam
Encore,Baby Elephant Walk
