"Set","Song"
"Set 1","Llama"
"Set 1","Reba"
"Set 1","Paul and Silas"
"Set 1","The Sloth"
"Set 1","Divided Sky"
"Set 1","Guelah Papyrus"
"Set 1","Maze"
"Set 1","Glide"
"Set 1","Bouncing Around the Room"
"Set 1","Run Like an Antelope"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","My Sweet One"
"Set 2","Rift"
"Set 2","Bathtub Gin"
"Set 2","Dinner and a Movie"
"Set 2","Magilla"
"Set 2","Harry Hood"
"Set 2","Cold as Ice"
"Set 2","Love You"
"Set 2","Cold as Ice"
"Set 2","Golgi Apparatus"
"Encore","Memories"
"Encore","Sweet Adeline"
