Set,Song
Set 1,Llama
Set 1,Foam
Set 1,Sparkle
Set 1,Cavern
Set 1,Reba
Set 1,The Landlady
Set 1,Split Open and Melt
Set 1,Poor Heart
Set 1,All Things Reconsidered
Set 1,Bouncing Around the Room
Set 1,Run Like an Antelope
Set 2,Maze
Set 2,Glide
Set 2,The Curtain
Set 2,Tweezer
Set 2,Rift
Set 2,Guelah Papyrus
Set 2,You Enjoy Myself
Set 2,Hold Your Head Up
Set 2,If I Only Had a Brain
Set 2,Hold Your Head Up
Set 2,The Squirming Coil
Set 2,Golgi Apparatus
Encore,Ride Captain Ride
Encore,Tweezer Reprise
