Set,Song
Set 1,Wilson
Set 1,Divided Sky
Set 1,Glide
Set 1,Split Open and Melt
Set 1,Rift
Set 1,Reba
Set 1,Take the 'A' Train
Set 1,Llama
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,Run Like an Antelope
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Fee
Set 2,Poor Heart
Set 2,Stash
Set 2,The Lizards
Set 2,Cavern
Set 2,Dinner and a Movie
Set 2,My Friend, My Friend
Set 2,My Sweet One
Set 2,Cold as Ice
Set 2,Love You
Set 2,Cold as Ice
Set 2,Possum
Encore,Sweet Adeline
