Set,Song
Set 1,Llama
Set 1,Foam
Set 1,Reba
Set 1,Sparkle
Set 1,Guelah Papyrus
Set 1,Divided Sky
Set 1,Mound
Set 1,Stash
Set 1,All Things Reconsidered
Set 1,Suzy Greenberg
Set 2,Glide
Set 2,Run Like an Antelope
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Rift
Set 2,Wilson
Set 2,Secret Language Instructions
Set 2,Wilson
Set 2,Secret Language Instructions
Set 2,Wilson
Set 2,You Enjoy Myself
Set 2,Poor Heart
Set 2,Cold as Ice
Set 2,Cracklin' Rosie
Set 2,Cold as Ice
Set 2,Harpua
Set 2,Runaway Jim
Encore,Take the 'A' Train
Encore,Rocky Top
