Set,Song
Set 1,Cavern
Set 1,The Curtain
Set 1,Split Open and Melt
Set 1,Uncle Pen
Set 1,Guelah Papyrus
Set 1,The Squirming Coil
Set 1,Llama
Set 1,Bouncing Around the Room
Set 1,It's Ice
Set 1,I Didn't Know
Set 1,Possum
Set 2,The Landlady
Set 2,Poor Heart
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,The Lizards
Set 2,NICU
Set 2,Horn
Set 2,Tweezer
Set 2,Fee
Set 2,Maze
Set 2,Cold as Ice
Set 2,Cracklin' Rosie
Set 2,Cold as Ice
Set 2,Golgi Apparatus
Encore,Sleeping Monkey
Encore,Tweezer Reprise
