Set,Song
Set 1,Glide
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,Foam
Set 1,My Friend, My Friend
Set 1,Uncle Pen
Set 1,Split Open and Melt
Set 1,The Horse
Set 1,Silent in the Morning
Set 1,Chalk Dust Torture
Set 1,The Lizards
Set 1,Run Like an Antelope
Set 2,The Sloth
Set 2,Divided Sky
Set 2,Esther
Set 2,My Sweet One
Set 2,Stash
Set 2,McGrupp and the Watchful Hosemasters
Set 2,All Things Reconsidered
Set 2,Harry Hood
Set 2,Golgi Apparatus
Encore,Possum
Encore,Vacuum Solo
Encore,Possum
