Set,Song
Set 1,The Landlady
Set 1,Llama
Set 1,Foam
Set 1,Guelah Papyrus
Set 1,Sparkle
Set 1,Maze
Set 1,I Didn't Know
Set 1,All Things Reconsidered
Set 1,The Sloth
Set 1,Runaway Jim
Set 1,Cavern
Set 2,Golgi Apparatus
Set 2,Uncle Pen
Set 2,Tweezer
Set 2,Mound
Set 2,You Enjoy Myself
Set 2,Vacuum Solo
Set 2,Big Black Furry Creature from Mars
Set 2,The Squirming Coil
Set 2,Weigh
Set 2,Chalk Dust Torture
Set 2,Hold Your Head Up
Set 2,Cracklin' Rosie
Set 2,Cold as Ice
Set 2,Bouncing Around the Room
Set 2,Tweezer Reprise
Encore,Sleeping Monkey
Encore,The Oh Kee Pa Ceremony
Encore,Suzy Greenberg
