Set,Song
Set 1,The Landlady
Set 1,Sparkle
Set 1,Split Open and Melt
Set 1,Esther
Set 1,Chalk Dust Torture
Set 1,Fluffhead
Set 1,Paul and Silas
Set 1,Reba
Set 1,I Walk the Line
Set 1,Reba
Set 1,I Didn't Know
Set 1,David Bowie
Set 1,Timber (Jerry The Mule)
Set 1,David Bowie
Set 2,Axilla
Set 2,Rift
Set 2,Bathtub Gin
Set 2,You Enjoy Myself
Set 2,The Man Who Stepped Into Yesterday
Set 2,Avenu Malkenu
Set 2,The Man Who Stepped Into Yesterday
Set 2,Possum
Set 2,Big Ball Jam
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Take the 'A' Train
Set 2,Llama
Encore,Ride Captain Ride
Encore,Sweet Adeline
