"Set","Song"
"Set 1","The Landlady"
"Set 1","Sparkle"
"Set 1","Foam"
"Set 1","Guelah Papyrus"
"Set 1","Llama"
"Set 1","Mound"
"Set 1","Reba"
"Set 1","Uncle Pen"
"Set 1","Stash"
"Set 1","The Squirming Coil"
"Set 1","Golgi Apparatus"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","Suzy Greenberg"
"Set 2","David Bowie"
"Set 2","The Man Who Stepped Into Yesterday"
"Set 2","Avenu Malkenu"
"Set 2","The Man Who Stepped Into Yesterday"
"Set 2","My Sweet One"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","Chalk Dust Torture"
"Set 2","Cold as Ice"
"Set 2","Terrapin"
"Set 2","Cold as Ice"
"Set 2","Cavern"
"Encore","Sleeping Monkey"
"Encore","Rocky Top"
