"Set","Song"
"Set 1","Rift"
"Set 1","Wilson"
"Set 1","Divided Sky"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","Split Open and Melt"
"Set 1","Lawn Boy"
"Set 1","Reba"
"Set 1","Llama"
"Set 1","Mound"
"Set 1","Memories"
"Set 1","Runaway Jim"
"Set 2","Axilla"
"Set 2","Poor Heart"
"Set 2","Possum"
"Set 2","Glide"
"Set 2","It's Ice"
"Set 2","McGrupp and the Watchful Hosemasters"
"Set 2","I Walk the Line"
"Set 2","David Bowie"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","Faht"
"Set 2","Take the 'A' Train"
"Set 2","Cavern"
"Encore","Bold As Love"
