"Set","Song"
"Set 1","The Landlady"
"Set 1","Llama"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","My Sweet One"
"Set 1","Reba"
"Set 1","I Didn't Know"
"Set 1","Stash"
"Set 1","The Mango Song"
"Set 1","Poor Heart"
"Set 1","Chalk Dust Torture"
"Set 2","The Curtain"
"Set 2","Possum"
"Set 2","Guelah Papyrus"
"Set 2","The Squirming Coil"
"Set 2","All Things Reconsidered"
"Set 2","Brother"
"Set 2","Sanity"
"Set 2","Cold as Ice"
"Set 2","Love You"
"Set 2","Hold Your Head Up"
"Set 2","Sparkle"
"Set 2","Harry Hood"
"Set 2","Cavern"
"Encore","Lawn Boy"
"Encore","Good Times Bad Times"
