Set,Song
Set 1,Llama
Set 1,Foam
Set 1,Reba
Set 1,My Mind's Got a Mind of its Own
Set 1,Maze
Set 1,Tela
Set 1,Brother
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,Sparkle
Set 1,Cavern
Set 2,My Sweet One
Set 2,Stash
Set 2,The Squirming Coil
Set 2,You Enjoy Myself
Set 2,Shaggy Dog
Set 2,All Things Reconsidered
Set 2,Bouncing Around the Room
Set 2,Uncle Pen
Set 2,Chalk Dust Torture
Set 2,Hold Your Head Up
Set 2,Terrapin
Set 2,Hold Your Head Up
Set 2,Take the 'A' Train
Set 2,Golgi Apparatus
Encore,Carolina
Encore,Good Times Bad Times
