"Set","Song"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 1","Foam"
"Set 1","Guelah Papyrus"
"Set 1","Sparkle"
"Set 1","Stash"
"Set 1","Uncle Pen"
"Set 1","Cavern"
"Set 1","I Didn't Know"
"Set 1","All Things Reconsidered"
"Set 1","Runaway Jim"
"Set 2","Chalk Dust Torture"
"Set 2","You Enjoy Myself"
"Set 2","Reba"
"Set 2","The Landlady"
"Set 2","NICU"
"Set 2","Cold as Ice"
"Set 2","Cracklin' Rosie"
"Set 2","Cold as Ice"
"Set 2","My Sweet One"
"Set 2","Golgi Apparatus"
"Encore","Memories"
"Encore","Sweet Adeline"
"Encore","Rocky Top"
