"Set","Song"
"Set 1","The Landlady"
"Set 1","Runaway Jim"
"Set 1","All Things Reconsidered"
"Set 1","Foam"
"Set 1","Sparkle"
"Set 1","Stash"
"Set 1","Fluffhead"
"Set 1","Uncle Pen"
"Set 1","NICU"
"Set 1","David Bowie"
"Set 2","Buried Alive"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","Suzy Greenberg"
"Set 2","Poor Heart"
"Set 2","Brother"
"Set 2","The Man Who Stepped Into Yesterday"
"Set 2","Avenu Malkenu"
"Set 2","The Man Who Stepped Into Yesterday"
"Set 2","My Friend, My Friend"
"Set 2","The Lizards"
"Set 2","Cavern"
"Set 2","Cold as Ice"
"Set 2","Cracklin' Rosie"
"Set 2","Cold as Ice"
"Set 2","Possum"
"Encore","Sleeping Monkey"
"Encore 2","Chalk Dust Torture"
"Encore 3","Harpua"
