"Set","Song"
"Set 1","Suzy Greenberg"
"Set 1","Poor Heart"
"Set 1","Buried Alive"
"Set 1","My Friend, My Friend"
"Set 1","Foam"
"Set 1","Runaway Jim"
"Set 1","Esther"
"Set 1","Split Open and Melt"
"Set 1","Rift"
"Set 1","Guelah Papyrus"
"Set 1","Possum"
"Set 2","The Landlady"
"Set 2","Sparkle"
"Set 2","Tweezer"
"Set 2","Fluffhead"
"Set 2","Glide"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Fee"
"Set 2","Cold as Ice"
"Set 2","Bike"
"Set 2","The Squirming Coil"
"Set 2","Tweezer Reprise"
"Encore","Sweet Adeline"
"Encore","Sleeping Monkey"
"Encore","Rocky Top"
