Set,Song
Set 1,The Landlady
Set 1,Runaway Jim
Set 1,Foam
Set 1,Glide
Set 1,Poor Heart
Set 1,It's Ice
Set 1,Bouncing Around the Room
Set 1,Maze
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,Possum
Set 2,Carolina
Set 2,The Curtain
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Uncle Pen
Set 2,Guelah Papyrus
Set 2,The Squirming Coil
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Take the 'A' Train
Set 2,Llama
Set 2,Big Ball Jam
Set 2,Llama
Encore,Buffalo Bill
Encore,Big Black Furry Creature from Mars
