"Set","Song"
"Set 1","Golgi Apparatus"
"Set 1","Foam"
"Set 1","Bouncing Around the Room"
"Set 1","Brother"
"Set 1","All Things Reconsidered"
"Set 1","Sparkle"
"Set 1","It's Ice"
"Set 1","Runaway Jim"
"Set 1","I Didn't Know"
"Set 1","The Landlady"
"Set 1","David Bowie"
"Set 1","Carolina"
"Set 2","Llama"
"Set 2","You Enjoy Myself"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","Uncle Pen"
"Set 2","Tweezer"
"Set 2","Horn"
"Set 2","Chalk Dust Torture"
"Set 2","Cold as Ice"
"Set 2","Cracklin' Rosie"
"Set 2","Cold as Ice"
"Set 2","The Squirming Coil"
"Set 2","Tweezer Reprise"
"Encore","Contact"
"Encore","Rocky Top"
"Encore 2","Lawn Boy"
"Encore 2","Good Times Bad Times"
