Set,Song
Set 1,Funky Bitch
Set 1,Runaway Jim
Set 1,Guelah Papyrus
Set 1,Llama
Set 1,My Friend, My Friend
Set 1,Divided Sky
Set 1,Wilson
Set 1,Uncle Pen
Set 1,Stash
Set 1,Tela
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 2,The Curtain
Set 2,Tweezer
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,My Sweet One
Set 2,Big Ball Jam
Set 2,Fast Enough for You
Set 2,All Things Reconsidered
Set 2,Mike's Song
Set 2,Blue Bayou
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Hold Your Head Up
Set 2,Terrapin
Set 2,Hold Your Head Up
Set 2,The Squirming Coil
Set 2,Tweezer Reprise
Encore,Big Ball Jam
Encore,Carolina
Encore,Rocky Top
