"Set","Song"
"Set 1","Stash"
"Set 1","Poor Heart"
"Set 1","Foam"
"Set 1","Eliza"
"Set 1","Rift"
"Set 1","Golgi Apparatus"
"Set 1","The Horse"
"Set 1","Silent in the Morning"
"Set 1","Llama"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","The Landlady"
"Set 1","David Bowie"
"Set 2","The Curtain"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Guelah Papyrus"
"Set 2","The Mango Song"
"Set 2","Brother"
"Set 2","Uncle Pen"
"Set 2","I Didn't Know"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","Suzy Greenberg"
"Set 2","Harry Hood"
"Set 2","Cavern"
"Encore","Lawn Boy"
"Encore","Fire"
