Set,Song
Set 1,Runaway Jim
Set 1,Foam
Set 1,Reba
Set 1,Uncle Pen
Set 1,Chalk Dust Torture
Set 1,Bouncing Around the Room
Set 1,It's Ice
Set 1,Sparkle
Set 1,The Lizards
Set 1,I Didn't Know
Set 1,Run Like an Antelope
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Glide
Set 2,My Friend, My Friend
Set 2,The Squirming Coil
Set 2,Tweezer
Set 2,Cold as Ice
Set 2,Cracklin' Rosie
Set 2,Cold as Ice
Set 2,Buried Alive
Set 2,My Sweet One
Set 2,Harpua
Set 2,Cavern
Encore,Sleeping Monkey
Encore,Tweezer Reprise
