Set,Song
Set 1,The Curtain
Set 1,Cavern
Set 1,Reba
Set 1,Uncle Pen
Set 1,It's Ice
Set 1,Eliza
Set 1,Llama
Set 1,Mound
Set 1,All Things Reconsidered
Set 1,Bouncing Around the Room
Set 1,David Bowie
Set 1,Memories
Set 2,Wilson
Set 2,My Sweet One
Set 2,Stash
Set 2,Magilla
Set 2,Maze
Set 2,You Enjoy Myself
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Chalk Dust Torture
Set 2,Cold as Ice
Set 2,Terrapin
Set 2,Hold Your Head Up
Set 2,Harry Hood
Set 2,Golgi Apparatus
Encore,Big Black Furry Creature from Mars
