Set,Song
Set 1,The Landlady
Set 1,Chalk Dust Torture
Set 1,Bouncing Around the Room
Set 1,Rift
Set 1,Guelah Papyrus
Set 1,Split Open and Melt
Set 1,The Lizards
Set 1,Mound
Set 1,Divided Sky
Set 1,Sweet Adeline
Set 1,Uncle Pen
Set 1,Golgi Apparatus
Set 2,Poor Heart
Set 2,Tweezer
Set 2,Reba
Set 2,I Walk the Line
Set 2,Reba
Set 2,Sparkle
Set 2,Maze
Set 2,Lawn Boy
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Hold Your Head Up
Set 2,Whipping Post
Set 2,Hold Your Head Up
Set 2,Tweezer Reprise
Encore,Memories
Encore,Good Times Bad Times
