Set,Song
Set 1,Suzy Greenberg
Set 1,My Friend, My Friend
Set 1,Paul and Silas
Set 1,Reba
Set 1,Brother
Set 1,Tela
Set 1,Chalk Dust Torture
Set 1,Bouncing Around the Room
Set 1,Rift
Set 1,Magilla
Set 1,Run Like an Antelope
Set 2,Maze
Set 2,Bathtub Gin
Set 2,You Enjoy Myself
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,All Things Reconsidered
Set 2,Dinner and a Movie
Set 2,Harry Hood
Set 2,Weigh
Set 2,Cold as Ice
Set 2,Terrapin
Set 2,Cold as Ice
Set 2,Poor Heart
Encore,Memories
Encore,Sweet Adeline
Encore,Cavern
