"Set","Song"
"Set 1","Suzy Greenberg"
"Set 1","Poor Heart"
"Set 1","Guelah Papyrus"
"Set 1","Divided Sky"
"Set 1","The Horse"
"Set 1","Silent in the Morning"
"Set 1","It's Ice"
"Set 1","Sparkle"
"Set 1","Maze"
"Set 1","I Didn't Know"
"Set 1","Reba"
"Set 1","Run Like an Antelope"
"Set 2","Glide"
"Set 2","Split Open and Melt"
"Set 2","Bouncing Around the Room"
"Set 2","Rift"
"Set 2","You Enjoy Myself"
"Set 2","Lawn Boy"
"Set 2","NICU"
"Set 2","Cold as Ice"
"Set 2","Cracklin' Rosie"
"Set 2","Cold as Ice"
"Set 2","Harry Hood"
"Set 2","Cavern"
"Encore","Sweet Adeline"
"Encore","Rocky Top"
