Set,Song
Set 1,Poor Heart
Set 1,It's Ice
Set 1,Sparkle
Set 1,Wilson
Set 1,Dinner and a Movie
Set 1,Bouncing Around the Room
Set 1,Maze
Set 1,Guelah Papyrus
Set 1,Rift
Set 1,Horn
Set 1,David Bowie
Set 2,Runaway Jim
Set 2,Weigh
Set 2,The Landlady
Set 2,Fluffhead
Set 2,The Man Who Stepped Into Yesterday
Set 2,Avenu Malkenu
Set 2,The Man Who Stepped Into Yesterday
Set 2,Llama
Set 2,Glide
Set 2,Paul and Silas
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Encore,Blue Bayou
Encore,The Squirming Coil
