Set,Song
Set 1,Suzy Greenberg
Set 1,Foam
Set 1,Sparkle
Set 1,It's Ice
Set 1,Runaway Jim
Set 1,Guelah Papyrus
Set 1,Rift
Set 1,Bouncing Around the Room
Set 1,Take the 'A' Train
Set 1,David Bowie
Set 1,Secret Language Instructions
Set 1,David Bowie
Set 2,The Landlady
Set 2,Possum
Set 2,Mound
Set 2,The Oh Kee Pa Ceremony
Set 2,Llama
Set 2,The Lizards
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Cold as Ice
Set 2,Love You
Set 2,Cold as Ice
Set 2,Golgi Apparatus
Encore,Horn
Encore,Rocky Top
