"Set","Song"
"Set 1","The Curtain"
"Set 1","Split Open and Melt"
"Set 1","Poor Heart"
"Set 1","Guelah Papyrus"
"Set 1","Maze"
"Set 1","Dinner and a Movie"
"Set 1","Divided Sky"
"Set 1","Mound"
"Set 1","Fluffhead"
"Set 1","Run Like an Antelope"
"Set 1","Big Black Furry Creature from Mars"
"Set 1","Run Like an Antelope"
"Set 2","Wilson"
"Set 2","Brother"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","The Landlady"
"Set 2","The Lizards"
"Set 2","My Mind's Got a Mind of its Own"
"Set 2","The Sloth"
"Set 2","Rift"
"Set 2","Cold as Ice"
"Set 2","Love You"
"Set 2","Cold as Ice"
"Set 2","Possum"
"Set 2","Secret Language Instructions"
"Set 2","Possum"
"Encore","Contact"
"Encore","Fire"
