"Set","Song"
"Set 1","Buried Alive"
"Set 1","Poor Heart"
"Set 1","The Landlady"
"Set 1","Fee"
"Set 1","Maze"
"Set 1","Sparkle"
"Set 1","It's Ice"
"Set 1","The Squirming Coil"
"Set 1","Cavern"
"Set 1","Sweet Adeline"
"Set 1","Cavern"
"Set 1","Run Like an Antelope"
"Set 2","Chalk Dust Torture"
"Set 2","Foam"
"Set 2","Fast Enough for You"
"Set 2","You Enjoy Myself"
"Set 2","The Lizards"
"Set 2","Tweezer"
"Set 2","Hold Your Head Up"
"Set 2","Cracklin' Rosie"
"Set 2","Hold Your Head Up"
"Set 2","My Sweet One"
"Set 2","Tweezer Reprise"
"Encore","Harry Hood"
"Encore","Carolina"
