"Set","Song"
"Set 1","Tube"
"Set 1","Boogie On Reggae Woman"
"Set 1","Birds of a Feather"
"Set 1","Guelah Papyrus"
"Set 1","My Sweet One"
"Set 1","Roggae"
"Set 1","Tweezer"
"Set 1","Have Mercy"
"Set 1","Taste"
"Set 1","Character Zero"
"Set 2","Funky Bitch"
"Set 2","On My Knees"
"Set 2","Jam"
"Set 2","Down with Disease"
"Set 2","Wolfman's Brother"
"Set 2","Sneakin' Sally Through the Alley"
"Set 2","Timber (Jerry The Mule)"
"Set 2","You Enjoy Myself"
"Encore","The Squirming Coil"
"Encore","Tweezer Reprise"
