Set,Song
Set 1,Water in the Sky
Set 1,Light Up Or Leave Me Alone
Set 1,Suzy Greenberg
Set 1,Corinna
Set 1,Limb By Limb
Set 1,Che Hun Ta Mo
Set 1,Big Alligator
Set 1,Possum
Set 1,Farmhouse
Set 1,Ghost
Set 1,Ya Mar
Set 1,Character Zero
Set 2,Wilson
Set 2,The Curtain
Set 2,Tweezer
Set 2,Taste
Set 2,Meat
Set 2,Golgi Apparatus
Set 2,Wolfman's Brother
Set 2,Gotta Jibboo
Set 2,Harry Hood
Set 2,Good Times Bad Times
Set 3,Chalk Dust Torture
Set 3,The Moma Dance
Set 3,Run Like an Antelope
Set 3,The Sloth
Set 3,When the Circus Comes
Set 3,Mike's Song
Set 3,Simple
Set 3,I Am Hydrogen
Set 3,Weekapaug Groove
Encore,Boogie On Reggae Woman
Encore,Tweezer Reprise
