"Set","Song"
"Set 1","My Soul"
"Set 1","Ya Mar"
"Set 1","Farmhouse"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","AC/DC Bag"
"Set 1","The Wedge"
"Set 1","Vultures"
"Set 1","I Didn't Know"
"Set 1","Fast Enough for You"
"Set 1","David Bowie"
"Set 2","Ghost"
"Set 2","Slave to the Traffic Light"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","What's the Use?"
"Set 2","Wilson"
"Set 2","Mike's Song"
"Set 2","Sleeping Monkey"
"Set 2","Weekapaug Groove"
"Encore","Carini"
"Encore","Meatstick Reprise"
"Encore 2","The Star Spangled Banner"
